Sample,Site,PlantTaxa,Burn Status,Urbanization,Latitude,Longitude,SoilHorizon,SOM (%),GWC (%),NH4 (ug/g dry soil),NO3 (ug/g dry soil),PO43 (ug/g dry soil)
GCL-SMIL-AMFb,GCL,Smilax_glauca,Med,Urban,35.71256324,-83.52061677,A,NA,NA,NA,NA,NA
GCL-LACT-AMFb,GCL,Lactuca_canadensis,Med,Urban,35.71256324,-83.52061677,B,2.6666667,18.4782609,16.83057172,0.121729135,1.07062554
GCL-LYQU-AMFb,GCL,Lysimachia_quadrifolia,Med,Urban,35.71256324,-83.52061677,B,2.6666667,18.4782609,16.83057172,0.121729135,1.07062554
GCL-SMIL-AMFb,GCL,Smilax_glauca,Med,Urban,35.71256324,-83.52061677,B,2.6666667,18.4782609,16.83057172,0.121729135,1.07062554
LCM-KALA-AMFb,LCM,Kalmia_latifolia,High,Natural,35.70056597,-83.53525657,A,NA,NA,NA,NA,NA
LCM-LACT-AMFb,LCM,Lactuca_canadensis,High,Natural,35.70056597,-83.53525657,A,NA,NA,NA,NA,NA
LCM-KALA-AMFb,LCM,Kalmia_latifolia,High,Natural,35.70056597,-83.53525657,B,3.2423208,20.2721088,2.116062269,0.436503141,0.7230996
LCM-LACT-AMFb,LCM,Lactuca_canadensis,High,Natural,35.70056597,-83.53525657,B,3.2423208,20.2721088,2.116062269,0.436503141,0.7230996
LGB-KALA-AMFb,LGB,Kalmia_latifolia,Med,Natural,35.68419056,-83.51600914,A,NA,NA,NA,NA,NA
LGB-LACT-AMFb,LGB,Lactuca_canadensis,Med,Natural,35.68419056,-83.51600914,A,NA,NA,NA,NA,NA
LGB-LYQU-AMFb,LGB,Lysimachia_quadrifolia,Med,Natural,35.68419056,-83.51600914,A,NA,NA,NA,NA,NA
LGB-PANI-AMFb,LGB,Panicum_miliaceum,Med,Natural,35.68419056,-83.51600914,A,NA,NA,NA,NA,NA
LGB-SMIL-AMFb,LGB,Smilax_glauca,Med,Natural,35.68419056,-83.51600914,A,NA,NA,NA,NA,NA
LGB-KALA-AMFb,LGB,Kalmia_latifolia,Med,Natural,35.68419056,-83.51600914,B,7.0362473,36.3636364,6.32130896,0.212702738,1.602109913
LGB-LACT-AMFb,LGB,Lactuca_canadensis,Med,Natural,35.68419056,-83.51600914,B,7.0362473,36.3636364,6.32130896,0.212702738,1.602109913
LGB-LYQU-AMFb,LGB,Lysimachia_quadrifolia,Med,Natural,35.68419056,-83.51600914,B,7.0362473,36.3636364,6.32130896,0.212702738,1.602109913
LGB-PANI-AMFb,LGB,Panicum_miliaceum,Med,Natural,35.68419056,-83.51600914,B,7.0362473,36.3636364,6.32130896,0.212702738,1.602109913
LGB-SMIL-AMFb,LGB,Smilax_glauca,Med,Natural,35.68419056,-83.51600914,B,7.0362473,36.3636364,6.32130896,0.212702738,1.602109913
