Samples,SITE,PLANT ID,Aseptate,Septate,Arbuscules,Vesicles,Efficiency
1,BGB,Amphicarpaea_bracteata,84,35,7,18,
2,BGB,Smilax_glauca,76,49,1,18,
3,BGB,Parthenocissus_quinquefolia,65,29,2,6,
4,BGB,Viola_palmata,54,6,1,0,
5,SGL,Phytolacca_americana,37,6,0,2,
6,SGL,Smilax_glauca,57,25,2,5,
7,SGL,Viola_palmata,21,2,6,1,
8,SGL,Amphicarpaea_bracteata,83,17,1,2,
9,LCM,Panicum_miliaceum,0,5,0,0,
10,LCM,Lactuca_canadensis,4,1,1,0,
11,LCM,Kalmia_latifolia,21,30,1,0,
12,LCM,Smilax_glauca,9,2,1,2,
13,GCL,Smilax_glauca,23,24,12,1,
14,GCL,Lactuca_canadensis,4,3,5,1,
15,GCL,Phytolacca_americana,52,29,7,1,
16,GCL,Panicum_miliaceum,23,55,1,2,
17,GCL,Lysimachia_quadrifolia,15,31,43,3,
18,TREE,Smilax_glauca,46,7,40,1,
19,TREE,Acer_saccharum,41,5,15,3,
20,TREE,Viola_palmata,52,14,22,1,
21,TREE,Parthenocissus_quinquefolia,41,21,2,1,
22,FCM,Panicum_miliaceum,8,4,6,1,
23,FCM,Lactuca_canadensis,4,0,22,3,
24,FCM,Kalmia_latifolia,12,6,10,2,
25,FCM,Smilax_glauca,28,2,23,2,
26,SCM,Smilax_glauca,11,4,11,1,
27,SCM,Lactuca_canadensis,31,3,33,2,
28,SCM,Kalmia_latifolia,22,11,2,0,
29,SCM,Panicum_miliaceum,13,4,2,1,
30,TCL,Smilax_glauca,21,9,16,0,
31,TCL,Lysimachia_quadrifolia,20,42,6,1,
32,TCL,Phytolacca_americana,70,16,17,2,
33,TCL,Parthenocissus_quinquefolia,30,7,4,0,
34,FCL,Acer_saccharum,62,59,5,0,
35,FCL,Smilax_glauca,7,1,16,0,
36,FCL,Panicum_miliaceum,14,57,20,1,
37,FCL,Lysimachia_quadrifolia,20,64,28,0,
38,NMT,Phytolacca_americana,41,9,14,2,
39,NMT,Amphicarpaea_bracteata,59,16,7,0,
40,NMT,Lactuca_canadensis,38,0,14,0,
41,NMT,Parthenocissus_quinquefolia,31,7,18,0,
42,WIN,Smilax_glauca,20,52,12,0,
43,WIN,Acer_saccharum,17,62,13,0,
44,WIN,Viola_palmata,30,1,20,0,
45,WIN,Parthenocissus_quinquefolia,58,11,9,0,
46,WIN,Amphicarpaea_bracteata,52,9,5,0,
47,SKI,Viola_palmata,45,7,17,0,
48,SKI,Parthenocissus_quinquefolia,27,30,11,0,
49,SKI,Amphicarpaea_bracteata,47,0,1,0,
50,PL441,Amphicarpaea_bracteata,90,51,6,0,
51,PL441,Parthenocissus_quinquefolia,65,42,2,2,
52,PL441,Smilax_glauca,41,12,16,1,
53,PL441,Acer_saccharum,37,30,4,2,
54,PL441,Viola_palmata,10,1,4,0,
55,RS441,Smilax_glauca,50,23,19,1,
56,RS441,Viola_palmata,41,7,17,0,
57,RS441,Parthenocissus_quinquefolia,43,35,12,1,
58,RS441,Amphicarpaea_bracteata,76,13,8,1,
59,LGB,Lysimachia_quadrifolia,21,44,25,1,
60,LGB,Lactuca_canadensis,32,5,35,1,
61,LGB,Panicum_miliaceum,4,25,4,0,
62,LGB,Smilax_glauca,6,12,26,0,
63,LGB,Kalmia_latifolia,8,29,12,0,
64,RGB,Lysimachia_quadrifolia,25,30,12,0,
65,RGB,Lactuca_canadensis,3,5,1,1,
66,RGB,Panicum_miliaceum,7,17,5,0,
67,RGB,Smilax_glauca,5,39,5,1,
68,RGB,Kalmia_latifolia,4,32,2,0,
69,DUD,Phytolacca_americana,52,19,16,4,
70,DUD,Panicum_miliaceum,1,7,0,0,
71,DUD,Lactuca_canadensis,31,26,25,1,
72,DUD,Smilax_glauca,6,18,10,0,
73,CANEY,Acer_saccharum,57,33,1,0,
74,CANEY,Smilax_glauca,22,41,14,0,
75,CANEY,Viola_palmata,36,10,6,0,
76,CANEY,Phytolacca_americana,80,15,1,0,
77,CANEY,Panicum_miliaceum,15,12,2,0,
78,LOVE,Parthenocissus_quinquefolia,42,9,8,0,
79,LOVE,Amphicarpaea_bracteata,34,9,1,0,
80,LOVE,Lactuca_canadensis,21,3,7,0,
81,LOVE,Viola_palmata,23,8,19,0,
82,NEON,Phytolacca_americana,50,34,26,0,
83,NEON,Viola_palmata,15,21,10,5,
84,NEON,Smilax_glauca,17,20,22,0,
85,NEON,Amphicarpaea_bracteata,69,22,11,0,
86,NEON,Parthenocissus_quinquefolia,22,14,0,0,
